ID,NAME,RESPONSE,NOELEC,DISTRICT,PARTY,INCUMB,TERM,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q7_1,Q7_2,Q8,Q9_1,Q9_2,Q9_3,Q10,Q11_1,Q11_2,Q11_3,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13,Q14,Q1_1_FA,Q1_2_FA,Q1_3_FA,Q6_15_FA
59,蓮舫,1,0,13,2,3,2,2,48,1,6,5,2,10,100,10,50,0,50,50,0,0,0,3,5,2,5,4,4,3,2,4,2,1,4,4,3,3,4,3,1,3,1,1,2,3,3,5,2,5,4,2,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,1,5,5,5,2,3,1,5,3,1,2,5,7,4,6,5,政治は遠くない。あなたの今と未来を創るもの。ぜひ投票に！,,,,
60,竹谷とし子,1,0,13,3,3,1,2,46,1,5,7,6,75,35,100,0,40,10,10,50,50,50,3,5,3,5,4,3,3,3,3,2,1,1,5,1,3,3,3,1,2,1,1,2,3,3,5,3,4,4,3,5,4,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,5,5,2,1,1,1,2,3,5,1,1,3,2,6,4,5,7,5,政治は未来を作る仕事です。若い力が必要です。是非ご参加下さい。,,,,大規模災害時などにおける国会議員の任期の特例を設けること
61,山添拓,1,0,13,4,1,0,1,31,1,7,12,1,0,75,0,100,0,75,75,0,0,0,5,5,3,5,5,2,3,5,5,1,1,5,5,1,3,4,5,1,1,2,1,5,4,4,5,1,5,4,5,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,4,1,3,5,1,2,3,5,6,4,7,2,主権者の力で政治は変えられます。初めての一票を納得のいく一票に。,,,,
62,田中康夫,1,0,13,5,2,1,1,60,0,5,6,10,50,40,50,50,80,30,50,40,30,30,3,4,4,4,4,3,3,3,4,2,3,3,4,4,4,4,4,3,3,3,3,3,3,3,4,2,4,4,3,3,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,4,4,4,3,5,2,3,3,1,2,6,5,4,7,5,微力だけど無力じゃない。自分で考え語り動く勇気と希望を抱こう,,,,
63,増山麗奈,1,0,13,6,1,0,2,39,0,7,5,6,0,95,0,95,0,100,95,0,0,0,5,5,5,5,5,5,5,5,5,2,1,5,5,1,1,5,5,1,1,1,2,5,5,5,5,1,5,5,5,5,1,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,5,5,5,5,3,1,3,5,1,2,3,6,5,4,7,2,返す必要のない奨学金、奨学金の返済免除実現で希望ある社会を作る。,,,,
64,鈴木麻理子,1,0,13,8,1,0,2,31,0,5,2,16,80,0,50,0,70,0,0,100,60,70,1,1,1,1,2,1,1,3,2,2,1,2,3,5,4,1,2,5,5,2,5,2,2,3,3,4,4,2,2,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,1,3,3,6,4,1,5,7,3,6,4,2,5,何度でもやり直せる社会を創り、若い世代の期待に応えていきます,,,経済デフレ脱却,天皇を元首と明記
65,高樹沙耶,1,0,13,10,1,0,2,52,0,6,15,9,50,50,50,50,50,50,50,50,50,50,3,3,3,1,2,1,1,5,2,3,1,4,3,5,5,1,5,4,5,3,4,2,4,3,1,1,1,3,2,5,4,2,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,2,2,1,2,3,4,4,6,4,2,7,6,5,1,2,4,3,5,国の未来はあなたの未来、無関心は未来を危うくします。選挙へ！,,,,
66,トクマ,1,0,13,11,1,0,1,49,0,1,2,16,50,0,0,0,50,0,0,60,0,0,1,1,1,1,2,3,2,5,1,5,3,1,4,5,2,1,1,4,4,5,5,4,1,2,3,5,3,2,1,3,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,3,1,2,2,4,4,6,2,4,1,7,5,3,6,2,10,努力した人が、報れる社会を創ります。どんどんチャレンジを！！,,,マイナンバー制度,
67,小林興起,1,0,13,12,1,0,1,72,0,16,1,6,50,50,50,50,30,50,50,50,50,50,1,3,4,2,5,2,2,5,5,1,1,5,5,3,3,2,4,2,3,3,3,2,4,4,4,2,4,2,4,4,3,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,1,2,5,5,4,4,2,3,4,1,2,3,6,5,4,7,5,沢山勉強をして、自分の意見を持って是非投票して下さい。,景気対策 消費税を5%に。,,,
68,大槻文彦,1,0,13,13,1,0,1,49,0,99,99,99,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,3,99,99,99,99,99,99,99,99,99,99,99,5,新しい世代に新しい選択肢を,,,,
69,鮫島良司,1,0,13,13,1,0,1,61,0,99,99,99,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,3,99,99,99,99,99,99,99,99,99,99,99,5,新しい世代に新しい選択肢を,,,,
70,犬丸勝子,1,0,13,13,1,0,2,61,0,12,16,1,0,0,0,0,0,0,0,0,0,0,5,5,3,5,5,1,3,5,3,3,1,5,5,3,3,5,5,3,3,3,5,5,1,3,5,1,5,5,1,1,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,4,2,99,99,1,2,3,6,4,5,7,5,今のアベさんたちが民主主義ではないということを気づいてほしい。,,不当不公平な選挙制度,,
71,佐藤均,1,0,13,13,1,0,1,45,0,99,99,99,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,3,99,99,99,99,99,99,99,99,99,99,99,5,新しい世代に新しい選択肢を,,,,
72,深江孝,1,0,13,13,1,0,1,54,0,99,99,99,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,3,99,99,99,99,99,99,99,99,99,99,99,5,新しい世代に新しい選択肢を,どちらともいえない,,,
73,又吉光雄,1,0,13,13,1,0,1,72,0,16,1,12,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,1,3,3,3,1,1,5,3,5,3,1,5,5,5,3,5,5,3,3,1,1,3,4,3,3,5,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,5,5,4,2,3,1,2,7,2,1,5,6,4,3,5,勉強し考え判断力を。唯一神又吉イエスの教え・政治に理解を。,経済・社会システム,,,
74,鈴木信行,1,0,13,13,1,0,1,50,0,1,8,16,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,2,4,3,3,4,4,2,5,5,1,1,5,5,5,5,5,2,4,1,5,1,2,2,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,4,3,4,6,5,3,4,6,5,3,7,2,1,10,選挙に行きましょう。政治は生活ですから候補者を調べて参加しよう。,,,中絶反対,
75,ひめじけんじ,1,0,13,13,1,0,1,64,0,99,99,99,999,999,999,999,999,999,999,999,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,
76,藤代洋行,0,0,13,13,1,0,1,42,0,99,99,99,999,999,999,999,999,999,999,999,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,
77,横粂勝仁,1,0,13,15,1,0,1,34,0,10,5,2,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,4,5,5,3,2,2,3,3,5,3,2,4,3,2,2,1,2,3,4,3,2,4,5,2,3,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,3,3,3,2,3,3,2,4,99,99,99,99,99,99,99,5,若い皆さんの熱い想いを、国会のおじさん達にぶつけてください。,,,,
78,岩坂行雄,1,0,13,15,1,0,1,69,0,7,1,15,25,25,25,25,20,60,75,60,50,50,1,3,3,3,5,2,3,5,5,1,3,5,3,5,5,3,5,4,5,5,5,5,3,3,1,1,3,3,5,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,5,5,5,4,1,2,4,1,2,3,4,5,6,7,4,自分自身が立派になることが、世界のためになるのです。,,,,
79,佐藤香,1,0,13,15,1,0,2,48,0,7,16,15,0,70,0,70,0,70,70,0,0,0,5,5,5,5,5,4,5,5,5,1,1,5,5,1,2,5,5,1,1,1,1,5,5,5,5,1,5,4,5,5,2,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,4,1,3,5,2,1,3,6,4,5,7,2,市民が政治を変える。女性、若者の一票が国を動かす。投票しよう。,,暴力被害者支援政策,,
80,三宅洋平,1,0,13,15,1,0,1,37,0,12,9,4,50,50,50,50,50,50,50,50,50,50,5,5,5,4,4,2,4,5,5,2,3,5,5,1,2,5,5,1,1,1,1,3,3,3,5,1,3,5,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,1,5,5,5,4,6,3,2,1,2,4,6,5,3,7,5,投票しない「なぜ？」より投票した「なぜ？」の方が先に進める。,,,,生態系の権利を人権と等しくする/前文に環境破壊型文明からの脱却を明記する
81,浜田和幸,1,0,13,15,3,1,1,63,0,1,5,13,50,50,50,50,50,50,50,50,50,50,3,3,4,3,3,3,3,5,2,3,3,4,3,3,3,2,3,3,4,4,4,3,4,3,3,3,3,4,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,3,4,4,4,6,5,2,7,5,6,4,2,3,1,5,自分の未来を自分でデザインする意思表示の場としての選挙です！,,,,日本の文化力で国際貢献を
82,柳沢秀敏,1,0,13,15,1,0,1,67,0,13,6,5,70,0,60,0,50,30,30,30,30,40,1,2,3,5,2,1,1,2,5,5,1,1,3,1,1,1,3,1,1,1,1,1,2,4,4,2,5,5,1,5,5,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,5,2,3,4,3,3,6,5,2,1,5,4,3,6,7,5,日本人は政治の話題をタブー視する傾向にある．打破できる若者に,,,,
83,鈴木達夫,1,0,13,15,1,0,1,75,0,12,7,15,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,4,5,5,5,1,3,5,5,1,1,5,5,1,1,3,1,5,3,5,5,1,5,5,5,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,5,5,5,4,3,5,1,99,99,99,99,99,99,99,0,人間らしい生活をとり戻すため、新しい労働者民衆の政党を作ろう,,,,
84,横堀喜久,0,0,13,15,1,0,1,80,0,99,99,99,999,999,999,999,999,999,999,999,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,
85,川上晃司,0,0,13,15,1,0,1,31,0,99,99,99,999,999,999,999,999,999,999,999,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,
86,原田君明,0,0,13,15,1,0,1,39,0,99,99,99,999,999,999,999,999,999,999,999,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,
87,三原じゅん子,1,0,14,1,3,1,2,51,1,6,5,7,100,999,999,999,999,999,999,999,999,999,1,2,2,1,4,2,1,2,2,3,2,2,2,5,3,1,1,4,3,3,3,3,3,3,1,4,4,3,3,3,5,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,5,1,1,1,2,3,5,6,7,4,1,2,6,3,5,8,選挙権は長い歴史の中で獲得してきた権利です。よく考えて投票して下さい,,,,
88,金子洋一,1,0,14,2,3,2,1,54,0,7,6,5,999,100,999,999,999,999,999,999,999,999,2,5,2,3,4,2,1,4,3,2,1,2,4,5,4,4,1,3,3,3,2,2,1,3,3,3,5,1,3,3,5,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,5,4,2,3,3,1,5,99,99,99,99,99,99,99,5,「のり」で投票しちゃダメだ！,,,,
89,真山勇一,1,0,14,2,3,1,1,72,1,15,1,16,20,80,10,20,20,20,20,10,10,10,3,4,4,5,3,4,4,2,2,2,1,4,4,5,3,3,4,1,2,3,2,1,3,3,3,1,3,4,2,2,5,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,4,2,3,2,5,1,2,3,5,7,4,6,4,政治に無関心でも政治が自分の将来を決めます。ぜひ政治参加を。,,,貧困,
90,三浦信祐,1,0,14,3,1,0,1,41,1,3,6,5,90,40,100,10,50,20,20,50,50,50,3,4,3,4,4,2,2,2,2,2,2,3,3,1,2,3,2,2,2,2,2,2,3,3,3,3,4,4,3,4,4,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,3,2,1,2,2,2,3,5,4,1,2,3,6,5,4,7,5,皆様の希望する社会について考えその思いを一票に託してください,,,,
91,浅賀由香,1,0,14,4,1,0,2,36,0,5,7,12,0,80,0,100,0,90,80,0,0,0,5,5,2,5,5,2,3,5,5,1,1,5,5,1,3,3,5,1,1,2,1,5,5,5,5,1,5,4,5,3,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,4,1,3,5,1,2,3,6,5,4,7,1,未来はあなたたちのもの。あなたの目と声で政治を変えましょう。,,,,
92,丹羽大,1,0,14,5,1,0,1,39,0,1,6,3,50,0,50,0,100,0,10,10,10,10,4,3,5,3,3,4,2,3,3,2,2,4,4,3,2,3,4,2,1,2,5,1,5,1,4,2,5,2,1,5,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,3,3,4,3,2,3,2,4,5,1,4,2,5,3,6,7,5,先生と呼ばれる政治家はいらないアニキにいつでも話して来てね,,,,
93,森英夫,1,0,14,6,1,0,1,44,0,12,7,15,0,50,0,50,0,100,50,0,10,0,5,5,5,5,5,3,2,5,5,1,1,5,5,1,3,5,5,1,1,1,1,5,4,5,5,1,5,4,5,3,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,99,3,1,5,1,2,3,6,5,4,7,99,政治の役割は人の命を守ること。未来は若者の選択で決まります。,,,,
94,清水太一,1,0,14,8,1,0,1,34,0,16,5,1,80,0,50,0,70,0,0,100,60,70,1,1,1,1,2,1,1,3,2,2,1,2,3,5,4,1,2,5,5,2,5,2,2,3,3,4,4,2,2,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,1,3,3,6,4,1,5,7,3,6,4,2,99,日本の未来をつくるために、政治に関心を持って欲しい。,経済デフレ脱却,,,天皇を元首と明記
95,壹岐愛子,1,0,14,11,1,0,2,30,0,1,2,16,60,50,50,45,50,45,40,65,50,50,1,1,2,1,2,2,2,5,1,5,5,1,2,4,2,1,1,4,5,5,99,5,2,1,2,5,3,2,1,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,2,5,2,4,2,4,6,99,99,99,99,99,99,99,5,日本の未来は明るいと思える時代を共に創造していきましょう！！,,,マイナンバー,憲法20条「政教分離」規定の見直し
96,片野英司,1,0,14,13,1,0,1,45,0,99,99,99,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,3,99,99,99,99,99,99,99,99,99,99,99,5,新しい世代に新しい選択肢が出来ました。とにかく選挙に行こう。,,,,
97,佐藤政則,1,0,14,15,1,0,1,48,0,2,15,12,100,20,20,40,20,20,20,80,20,20,2,1,2,1,3,5,5,5,5,1,2,5,1,5,5,1,5,5,5,5,5,5,3,4,5,2,1,5,2,5,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,5,5,5,4,4,5,3,6,4,3,2,7,1,5,5,生まれ生きて死ぬ、それが代々穏やかに続くようにするのが、政治,,,,9条2項を削除する　1条を「天皇は、日本国の元首であり、その外交において全国民を代表する」に修正する
98,中西健治,1,0,14,1,3,1,1,52,1,16,5,6,90,20,70,10,40,10,10,40,40,40,2,5,2,3,3,4,1,2,2,4,1,1,3,4,2,2,3,4,4,2,2,2,2,2,4,3,4,2,1,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,1,1,1,2,2,3,4,1,2,6,5,4,3,7,6,未来を生きる当事者として、必ず選挙権を行使して下さい。,成長戦略,,,
99,中原八一,1,0,15,1,3,1,1,57,0,3,7,1,100,999,999,999,999,999,999,999,999,999,1,3,3,1,3,1,1,3,2,3,3,2,2,5,3,1,2,4,5,3,3,3,2,3,3,4,3,3,4,2,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,1,4,1,2,2,2,3,2,5,7,6,3,1,4,2,5,5,これからの日本の未来はあなたたち若い皆さんにかかっています。,,,,
100,横井基至,1,0,15,11,1,0,1,35,0,1,2,12,30,0,0,0,0,0,0,30,10,0,1,2,1,1,2,3,2,5,1,5,4,1,3,5,2,2,1,4,4,5,3,5,1,1,2,5,2,3,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,3,1,4,2,4,6,6,5,7,4,2,3,1,6,政治に関心を持ち積極的に日本の政治に参加していただきたい,,,,
101,森ゆうこ,1,0,15,14,2,2,2,60,1,12,5,6,30,90,10,90,10,90,100,10,10,10,3,3,3,5,4,2,1,3,3,2,3,5,4,3,3,3,4,1,3,1,1,4,3,4,3,2,3,3,3,3,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,99,99,99,99,99,99,99,99,99,99,99,5,先人や未来世代に想いを馳せながら政治参加し、関心を持ち続けて,,,,
102,野上浩太郎,1,0,16,1,3,2,1,49,1,16,5,6,100,10,90,10,60,10,0,70,20,70,2,2,3,2,4,2,1,3,3,3,2,1,2,4,3,1,1,4,4,3,3,4,2,3,3,5,3,3,2,3,5,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,2,1,4,1,2,2,2,3,2,6,99,99,99,99,99,99,99,8,日本の活力ある未来は、皆さんの一票が創ります。是非、投票へ。,地方創生,,,
103,吉田かをる,1,0,16,11,1,0,2,61,0,1,2,5,30,0,0,0,0,0,0,30,10,0,1,2,1,1,2,3,2,5,1,5,4,1,3,5,2,2,1,4,4,5,3,5,1,1,2,5,2,3,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,3,1,4,2,4,6,1,5,7,4,3,6,2,6,政治に関心を持ち、積極的に日本の政治に参加してほしい。,,,,
104,道用悦子,1,0,16,14,1,0,2,50,0,1,7,5,999,999,999,999,999,999,999,999,999,999,5,5,5,5,5,2,3,5,5,1,1,5,5,1,3,5,5,1,1,1,1,5,4,5,5,2,5,4,5,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,5,5,5,99,1,3,5,2,1,3,99,99,99,99,99,マスコミや政府の説明を批判的にとらえ、一票を行使してほしい。,,,,
105,岡田直樹,1,0,17,1,3,2,1,54,1,16,7,5,90,25,80,10,51,20,20,55,55,55,3,3,2,2,3,2,2,3,3,2,2,1,3,5,3,2,1,4,4,3,4,5,3,3,2,5,3,4,3,4,4,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,2,1,2,1,1,2,2,3,1,5,99,99,99,99,99,99,99,5,就職や家族のことなど考え、自分の将来のための選択を望みます。,地方経済の強化,,,上記1に関して「国防軍」ではなく、「自衛隊」または「自衛力」を記述すれば足りる。
106,宮元智,1,0,17,11,1,0,1,56,0,1,12,5,25,0,10,0,50,0,0,50,50,30,1,1,1,1,2,2,1,5,1,5,5,1,1,5,2,1,1,5,5,5,5,5,1,1,3,5,3,2,1,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,2,3,2,4,4,6,2,1,2,5,7,4,6,3,5,青年よ、大志を抱け。そしてその実現のために「青くささ」を忘れるな。,,,,人間の尊厳の根拠は神仏の子であることを明らかにし、積極的に世界平和の実現に努力すべきことを明記する。条文は必要最低限のものとし、あとは法律に委ねるかたちとする。
107,柴田未来,1,0,17,14,1,0,2,45,0,5,6,1,0,70,10,50,10,60,999,999,999,999,3,3,2,5,4,2,3,4,4,1,2,5,3,3,3,4,3,1,3,2,2,3,3,4,5,3,5,4,4,4,2,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,4,5,5,5,3,3,1,5,1,2,3,6,5,4,7,5,将来あなたが住みたいと思える国を一緒に作っていきましょう。,,,,
108,山崎正昭,1,0,18,1,3,4,1,74,1,16,16,16,100,50,100,50,75,50,50,75,50,75,2,3,2,2,3,2,2,3,3,2,2,1,3,5,3,2,1,4,4,4,4,5,3,3,3,5,4,4,3,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,2,1,1,2,2,3,99,99,99,99,99,99,99,99,99,99,声を上げることが、若い皆さんの未来の希望へとつながります。,経済,社会保障,地方創生,
109,白川康之,1,0,18,11,1,0,1,59,0,1,3,15,50,50,50,50,50,50,50,50,50,50,1,1,1,1,99,1,1,5,1,5,4,1,4,5,1,1,1,5,5,5,5,5,3,2,3,5,3,2,2,2,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,4,2,2,2,4,4,2,6,99,99,99,99,99,99,99,5,多様な価値観がありますが、政治の原点は、国民の幸福の実現です。,,,,
110,横山龍寛,1,0,18,14,1,0,1,51,0,1,5,6,10,90,10,20,10,60,10,10,0,0,4,5,4,3,3,2,4,2,5,1,2,3,4,2,3,2,1,2,3,4,4,3,2,5,4,4,5,4,5,5,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,4,5,5,5,2,1,3,6,3,2,5,4,7,1,6,5,政治はすべての国民の生活に直結している。もっと関心を持とう！,,,,
111,高野剛,1,0,19,1,1,0,1,68,0,3,4,13,100,999,999,999,999,999,999,999,999,999,2,3,1,3,3,2,1,4,2,3,3,3,4,3,2,1,2,4,4,4,4,3,4,2,1,4,4,2,3,2,5,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,4,1,2,2,2,3,99,99,7,6,3,2,4,1,5,7,社会の担い手であるという意識を持って、投票に行って下さい。,,,,
112,宮沢由佳,1,0,19,2,1,0,2,53,1,5,7,6,20,85,40,51,15,60,10,10,10,10,3,5,3,4,4,3,4,3,3,3,2,3,3,3,3,3,3,2,3,2,2,3,3,4,4,3,4,4,3,3,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,5,5,4,2,3,1,5,2,1,3,5,6,4,7,5,一人ひとりの判断が政治を変えていきます。大事な選挙権を大切に,,,,
113,西脇愛,1,0,19,11,1,0,2,31,0,1,2,12,45,0,0,0,0,0,0,30,10,0,1,2,1,1,2,3,2,5,1,5,4,1,3,5,2,2,1,4,4,5,3,5,1,1,2,5,2,3,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,3,1,4,2,4,6,4,6,7,3,5,1,2,6,初めての選挙を大切にし、日本の未来のために正しい選択を！,,,,
114,米長晴信,1,0,19,15,2,1,1,50,0,16,6,4,50,50,50,50,50,50,50,50,50,50,1,5,3,3,1,4,4,5,2,2,4,5,2,2,4,1,4,4,4,4,2,1,1,2,1,3,1,2,1,4,5,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,5,5,5,5,5,3,4,2,6,4,7,5,4,2,6,3,1,8,政党には捉れず、自分たちのリーダーとして活躍する人を選ぼう！,少子化対策,,,
115,若林健太,1,0,20,1,3,1,1,52,0,3,7,5,100,0,100,0,0,0,0,0,0,0,3,3,3,3,3,2,3,4,2,2,3,2,4,2,3,2,3,2,2,2,2,3,2,3,4,4,4,3,2,4,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,2,2,2,2,2,2,4,3,4,1,2,6,5,3,7,6,社会問題は、その背景を知ることが大切です。未来に向けてGO！,,,,
116,杉尾秀哉,1,0,20,2,1,0,1,58,1,1,5,2,25,80,50,60,25,60,55,20,30,20,3,3,4,5,4,3,4,2,4,1,1,5,4,1,1,5,4,1,2,1,2,3,2,4,5,3,5,5,2,2,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,5,5,4,2,3,5,2,1,2,3,7,5,4,6,6,政治を決して他人事（ひとごと）と思わず自分の事と思って下さい,,,,
117,及川幸久,1,0,20,11,1,0,1,56,0,4,6,1,999,999,999,999,999,999,999,999,999,999,1,1,1,1,2,1,1,5,1,5,5,1,5,5,1,1,1,5,5,5,5,5,2,2,3,5,5,1,1,3,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,1,5,2,4,2,4,99,99,99,99,99,99,99,99,99,正義、何が正しいかの基準を少しでも勉強して投票してください。,,,,
118,渡辺猛之,1,0,21,1,3,1,1,48,1,7,4,6,100,25,90,10,50,25,20,50,40,50,3,3,2,2,4,3,1,3,2,2,3,1,3,5,3,2,2,4,4,3,4,4,3,2,3,3,5,3,3,3,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,2,4,1,2,3,2,3,1,5,2,1,3,5,6,7,4,5,マスコミの情報を鵜呑みするのではなく政治家に直接話してほしい,,,,
119,小見山幸治,1,0,21,2,3,1,1,53,0,3,5,7,25,100,50,75,999,75,75,3,5,7,2,4,5,3,4,3,3,2,4,2,1,3,4,3,3,1,3,2,3,2,2,2,3,5,3,3,4,4,2,5,1,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,5,5,1,5,5,5,2,3,1,5,5,1,3,4,7,2,6,5,政治は”未来への選択”です。一票は、あなたを裏切らない。,,,,
